,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,Cons_1,Cons_2,Cons_3,Cons_4,Cons_5,Cons_6,Cons_7,Cons_8,Cons_9,Cons_10,Cons_11,Cons_12,Cons_13,Cons_14
1/1/2007 0:00,166.0252214,75.46776698,76.64687037,57.08582541,40.30721415,-29.86849203,-72.58974924,11.31377115,14.58964676,31.43485842,13.05782102,12.15171527,28.03640683,-39.12742456,50.4411957,6.26845113,13.15238905,-7.646464822,2.720494462,9.884527362,-166.0252214,-75.46776698,-76.64687037,-57.08582541,-40.30721415,29.86849203,72.58974924,-11.31377115,-14.58964676,-31.43485842,-13.05782102,-12.15171527,-28.03640683,39.12742456,-50.4411957,-6.26845113,-13.15238905,7.646464822,-2.720494462,-9.884527362,-241.4929884,-8.014688522,106.5153624,73.90366472,11.75037347,-21.81108471,0,-39.12742456,45.61000228,13.91491595,5.411356203,9.431220811,20.87237393,23.03691641
1/1/2007 1:00,162.6208364,75.34522844,74.99547046,57.33715692,41.30851657,-27.69786458,-69.50754326,18.54221471,15.71043234,36.77752005,10.78120759,10.50265781,24.12251129,-23.95131948,42.49353419,6.361237627,12.17240627,-5.980421804,2.280141344,8.345074675,-162.6208364,-75.34522844,-74.99547046,-57.33715692,-41.30851657,27.69786458,69.50754326,-18.54221471,-15.71043234,-36.77752005,-10.78120759,-10.50265781,-24.12251129,23.95131948,-42.49353419,-6.361237627,-12.17240627,5.980421804,-2.280141344,-8.345074675,-237.9660649,-11.02030753,102.693335,64.89418854,10.3686817,-8.628856648,0,-23.95131948,39.67032262,12.34165943,4.800785788,8.222516467,18.05757796,20.51748095
1/1/2007 2:00,161.1398527,75.27987033,74.3724317,57.39396367,41.72864732,-26.91812331,-68.01060267,21.84876302,16.28196684,39.20596924,9.828675671,9.849858354,22.50752045,-17.29751873,39.14628175,6.394570109,11.67884171,-5.287238963,2.063049948,7.631092857,-161.1398527,-75.27987033,-74.3724317,-57.39396367,-41.72864732,26.91812331,68.01060267,-21.84876302,-16.28196684,-39.20596924,-9.828675671,-9.849858354,-22.50752045,17.29751873,-39.14628175,-6.394570109,-11.67884171,5.287238963,-2.063049948,-7.631092857,-236.419723,-12.35519004,101.290555,60.35571317,9.791945756,-2.980085241,0,-17.29751873,37.35483677,11.68180907,4.541436708,7.786808406,16.93947754,19.30993456
1/1/2007 3:00,160.2985535,75.23527988,74.14089935,57.44506503,41.9577376,-26.59743893,-67.27861439,23.60232079,16.5272564,40.48723324,9.233249044,9.432661406,21.51015274,-13.48559768,37.08791846,6.383631229,11.36683804,-4.859953554,1.94696059,7.1885689,-160.2985535,-75.23527988,-74.14089935,-57.44506503,-41.9577376,26.59743893,67.27861439,-23.60232079,-16.5272564,-40.48723324,-9.233249044,-9.432661406,-21.51015274,13.48559768,-37.08791846,-6.383631229,-11.36683804,4.859953554,-1.94696059,-7.1885689,-235.5338334,-13.24514848,100.7383383,57.9966633,9.427169851,0.311170051,0,-13.48559768,35.86470559,11.24358478,4.373295489,7.485700816,16.26854443,18.55540694
1/1/2007 4:00,160.1900154,75.2340559,74.10719976,57.4577531,41.99310222,-26.54535057,-67.18571392,23.82902864,16.56315798,40.65934146,9.160319105,9.385432577,21.39614733,-13.01329938,36.84232801,6.386270298,11.33656286,-4.806536739,1.93310289,7.135920044,-160.1900154,-75.2340559,-74.10719976,-57.4577531,-41.99310222,26.54535057,67.18571392,-23.82902864,-16.56315798,-40.65934146,-9.160319105,-9.385432577,-21.39614733,13.01329938,-36.84232801,-6.386270298,-11.33656286,4.806536739,-1.93310289,-7.135920044,-235.4240713,-13.36803963,100.6525503,57.70592983,9.382102742,0.717442449,0,-13.01329938,35.68265284,11.19280704,4.353782366,7.452329687,16.19333018,18.4724829
1/1/2007 5:00,160.441195,75.2523279,74.18412632,57.44909934,41.9310657,-26.64331574,-67.40563979,23.28462409,16.48210573,40.29071518,9.325510673,9.51618173,21.70873479,-14.17273073,37.45735482,6.413030047,11.43055635,-4.918826097,1.969493858,7.241822043,-160.441195,-75.2523279,-74.18412632,-57.44909934,-41.9310657,26.64331574,67.40563979,-23.28462409,-16.48210573,-40.29071518,-9.325510673,-9.51618173,-21.70873479,14.17273073,-37.45735482,-6.413030047,-11.43055635,4.918826097,-1.969493858,-7.241822043,-235.6935229,-13.12309631,100.8274421,58.44469356,9.487038627,-0.259712008,0,-14.17273073,36.09587415,11.33185614,4.406684575,7.546687873,16.4364066,18.67237839
1/1/2007 6:00,166.3930943,75.97131342,74.92406719,57.73489204,40.82794086,-27.20517697,-73.15729773,10.47091293,14.86314002,31.18943701,13.66202884,12.65561558,29.42486485,-42.87708077,53.34799371,6.270945145,13.45601498,-8.213833656,2.980508917,10.2585308,-166.3930943,-75.97131342,-74.92406719,-57.73489204,-40.82794086,27.20517697,73.15729773,-10.47091293,-14.86314002,-31.18943701,-13.66202884,-12.65561558,-29.42486485,42.87708077,-53.34799371,-6.270945145,-13.45601498,8.213833656,-2.980508917,-10.2585308,-242.3644077,-7.093805829,102.1292442,78.35295984,12.45251955,-24.55307227,0,-42.87708077,48.48417361,14.4847788,5.448195185,9.675106666,22.14684297,23.71454578
1/1/2007 7:00,174.1082894,75.73356741,79.46237058,56.35044158,37.89755804,-33.88560863,-79.4605193,-5.679766208,12.00511846,18.97060615,18.544232,15.96194025,37.1164547,-75.05202079,69.37225459,6.455768,15.92160505,-11.544232,3.761940252,13.87839495,-174.1082894,-75.73356741,-79.46237058,-56.35044158,-37.89755804,33.88560863,79.4605193,5.679766208,-12.00511846,-18.97060615,-18.544232,-15.96194025,-37.1164547,75.05202079,-69.37225459,-6.455768,-15.92160505,11.544232,-3.761940252,-13.87839495,-249.8418568,0.397919167,113.3479792,95.6,15.2,-52.65202079,0,-75.05202079,59,18,7,12.2,27,29.8
1/1/2007 8:00,174.1082894,75.73356741,79.46237058,56.35044158,37.89755804,-33.88560863,-79.4605193,-5.679766208,12.00511846,18.97060615,18.544232,15.96194025,37.1164547,-75.05202079,69.37225459,6.455768,15.92160505,-11.544232,3.761940252,13.87839495,-174.1082894,-75.73356741,-79.46237058,-56.35044158,-37.89755804,33.88560863,79.4605193,5.679766208,-12.00511846,-18.97060615,-18.544232,-15.96194025,-37.1164547,75.05202079,-69.37225459,-6.455768,-15.92160505,11.544232,-3.761940252,-13.87839495,-249.8418568,0.397919167,113.3479792,95.6,15.2,-52.65202079,0,-75.05202079,59,18,7,12.2,27,29.8
1/1/2007 9:00,170.6678843,75.57291998,78.32910288,56.49969391,38.86223462,-32.41996414,-76.10212954,2.181716974,13.43024213,24.74504509,16.31489226,14.3811484,33.41837321,-59.55694418,61.73866115,6.346998041,14.84357296,-10.0059452,3.374874447,12.32844782,-170.6678843,-75.57291998,-78.32910288,-56.49969391,-38.86223462,32.41996414,76.10212954,-2.181716974,-13.43024213,-24.74504509,-16.31489226,-14.3811484,-33.41837321,59.55694418,-61.73866115,-6.346998041,-14.84357296,10.0059452,-3.374874447,-12.32844782,-246.2408043,-3.02314707,110.749067,84.5699002,13.58797998,-39.36936879,0,-59.55694418,53.97833228,16.35294324,6.308947062,11.00627396,24.46479984,27.17202077
